,poa_global,poa_direct,poa_diffuse,poa_sky_diffuse,poa_ground_diffuse,temp_air
2020-05-19 01:30:00+00:00,0.0,0.0,0.0,0.0,0.0,20.0
2020-05-19 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,20.0
2020-05-19 02:30:00+00:00,0.0,0.0,0.0,0.0,0.0,20.0
2020-05-19 03:00:00+00:00,0.0,0.0,0.0,0.0,0.0,20.0
2020-05-19 03:30:00+00:00,0.0,0.0,0.0,0.0,0.0,20.0
2020-05-19 04:00:00+00:00,0.0,0.0,0.0,0.0,0.0,20.0
2020-05-19 04:30:00+00:00,8.116919603564249,1.6804217238379882,6.436497879726261,6.436497879726261,0.0,20.0
2020-05-19 05:00:00+00:00,47.07983596465457,19.869491914030394,27.210344050624176,27.210344050624176,0.0,20.0
2020-05-19 05:30:00+00:00,108.23291109372158,60.26708527353068,47.9658258201909,47.9658258201909,0.0,20.0
2020-05-19 06:00:00+00:00,180.14540077985632,115.45414631514574,64.69125446471058,64.69125446471058,0.0,20.0
2020-05-19 06:30:00+00:00,256.8195673900025,178.83583591601774,77.98373147398473,77.98373147398473,0.0,20.0
2020-05-19 07:00:00+00:00,334.7468057141408,245.97573616905632,88.77106954508449,88.77106954508449,0.0,20.0
2020-05-19 07:30:00+00:00,411.4783014828918,313.7632205150283,97.71508096786351,97.71508096786351,0.0,20.0
2020-05-19 08:00:00+00:00,485.0813000130245,379.8438660021011,105.23743401092338,105.23743401092338,0.0,20.0
2020-05-19 08:30:00+00:00,553.9262519218355,442.3266945407696,111.59955738106589,111.59955738106589,0.0,20.0
2020-05-19 09:00:00+00:00,616.6016244639355,499.63987321904136,116.96175124489417,116.96175124489417,0.0,20.0
2020-05-19 09:30:00+00:00,671.8816286510207,550.4605679290505,121.4210607219702,121.4210607219702,0.0,20.0
2020-05-19 10:00:00+00:00,718.7170719452204,593.6820484604889,125.03502348473148,125.03502348473148,0.0,20.0
2020-05-19 10:30:00+00:00,756.2363315400482,628.3996585645358,127.83667297551244,127.83667297551244,0.0,20.0
2020-05-19 11:00:00+00:00,783.7503062756173,653.9061854435208,129.84412083209645,129.84412083209645,0.0,20.0
2020-05-19 11:30:00+00:00,800.7582545378449,669.6915782073384,131.06667633050654,131.06667633050654,0.0,20.0
2020-05-19 12:00:00+00:00,806.9528421177141,675.4442071737936,131.50863494392047,131.50863494392047,0.0,20.0
2020-05-19 12:30:00+00:00,802.2235053943267,671.0521322729633,131.17137312136344,131.17137312136344,0.0,20.0
2020-05-19 13:00:00+00:00,786.657692709227,656.6036200356544,130.0540726735726,130.0540726735726,0.0,20.0
