,poa_global,poa_direct,poa_diffuse,poa_sky_diffuse,poa_ground_diffuse,temp_air
2020-04-10 05:00:00+00:00,0.0,0.0,0.0,0.0,0.0,5.5433044
2020-04-10 05:30:00+00:00,5.183333396911621,0.0,5.183333396911621,5.183333396911621,0.0,5.546051
2020-04-10 06:00:00+00:00,10.366666793823242,0.0,10.366666793823242,10.366666793823242,0.0,5.5487976
2020-04-10 06:30:00+00:00,40.184027671813965,0.0,40.184027671813965,40.184027671813965,0.0,6.460724
2020-04-10 07:00:00+00:00,70.00138854980469,0.0,70.00138854980469,70.00138854980469,0.0,7.37265
2020-04-10 07:30:00+00:00,112.4502297548246,4.404763532075508,108.0454662227491,108.0454662227491,0.0,8.102798
2020-04-10 08:00:00+00:00,154.89907095984452,8.809527064151016,146.0895438956935,146.0895438956935,0.0,8.832947
2020-04-10 08:30:00+00:00,207.97325173034216,24.088095281467638,183.8851564488745,183.8851564488745,0.0,9.753357
2020-04-10 09:00:00+00:00,261.04743250083976,39.366663498784256,221.6807690020555,221.6807690020555,0.0,10.673767
2020-04-10 09:30:00+00:00,307.54561956966904,55.98297041085118,251.56264915881783,251.56264915881783,0.0,11.574966
2020-04-10 10:00:00+00:00,354.04380663849827,72.5992773229181,281.44452931558016,281.44452931558016,0.0,12.476166
2020-04-10 10:30:00+00:00,397.31032888117625,96.61580309572902,300.69452578544724,300.69452578544724,0.0,13.410538
2020-04-10 11:00:00+00:00,440.5768511238542,120.63232886853994,319.94452225531427,319.94452225531427,0.0,14.34491
2020-04-10 11:30:00+00:00,484.2104531903447,166.22436176276338,317.98609142758136,317.98609142758136,0.0,15.262573
2020-04-10 12:00:00+00:00,527.8440552568352,211.8163946569868,316.02766059984845,316.02766059984845,0.0,16.180237
2020-04-10 12:30:00+00:00,534.4737043240598,231.05071611229232,303.42298821176746,303.42298821176746,0.0,16.887695
2020-04-10 13:00:00+00:00,541.1033533912844,250.28503756759787,290.8183158236865,290.8183158236865,0.0,17.595154
2020-04-10 13:30:00+00:00,531.5798918034463,268.83818894250084,262.74170286094545,262.74170286094545,0.0,18.094376
2020-04-10 14:00:00+00:00,522.0564302156083,287.3913403174038,234.66508989820449,234.66508989820449,0.0,18.593597
2020-04-10 14:30:00+00:00,486.1656373110135,281.53539844670127,204.6302388643122,204.6302388643122,0.0,18.855179
2020-04-10 15:00:00+00:00,450.27484440641865,275.67945657599876,174.5953878304199,174.5953878304199,0.0,19.11676
2020-04-10 15:30:00+00:00,400.5054059917394,257.3307314127454,143.17467457899397,143.17467457899397,0.0,19.150436
2020-04-10 16:00:00+00:00,350.7359675770601,238.98200624949203,111.75396132756805,111.75396132756805,0.0,19.184113
2020-04-10 16:30:00+00:00,295.1000981560237,213.2891619247249,81.81093623129881,81.81093623129881,0.0,19.013535
2020-04-10 17:00:00+00:00,239.46422873498733,187.59631759995776,51.86791113502957,51.86791113502957,0.0,18.842957
2020-04-10 17:30:00+00:00,179.33894700272515,132.87842523644957,46.460521766275576,46.460521766275576,0.0,18.207825
2020-04-10 18:00:00+00:00,119.21366527046295,78.16053287294137,41.05313239752158,41.05313239752158,0.0,17.572693
2020-04-10 18:30:00+00:00,71.97516549808549,39.08026643647069,32.894899061614794,32.894899061614794,0.0,16.742554
2020-04-10 19:00:00+00:00,24.736665725708008,0.0,24.736665725708008,24.736665725708008,0.0,15.912415
2020-04-10 19:30:00+00:00,12.368332862854004,0.0,12.368332862854004,12.368332862854004,0.0,15.276535
2020-04-10 20:00:00+00:00,0.0,0.0,0.0,0.0,0.0,14.6406555
2020-04-10 20:30:00+00:00,0.0,0.0,0.0,0.0,0.0,14.170349
2020-04-10 21:00:00+00:00,0.0,0.0,0.0,0.0,0.0,13.700043
2020-04-10 21:30:00+00:00,0.0,0.0,0.0,0.0,0.0,13.301056
2020-04-10 22:00:00+00:00,0.0,0.0,0.0,0.0,0.0,12.902069
2020-04-10 22:30:00+00:00,0.0,0.0,0.0,0.0,0.0,12.540741
2020-04-10 23:00:00+00:00,0.0,0.0,0.0,0.0,0.0,12.179413
2020-04-10 23:30:00+00:00,0.0,0.0,0.0,0.0,0.0,11.846512
2020-04-11 00:00:00+00:00,0.0,0.0,0.0,0.0,0.0,11.513611
2020-04-11 00:30:00+00:00,0.0,0.0,0.0,0.0,0.0,11.256271
2020-04-11 01:00:00+00:00,0.0,0.0,0.0,0.0,0.0,10.998932
2020-04-11 01:30:00+00:00,0.0,0.0,0.0,0.0,0.0,10.739334
2020-04-11 02:00:00+00:00,0.0,0.0,0.0,0.0,0.0,10.479736
